Name,Group Number,Day,Dates,Start Time,End Time,Location,Type,Teacher
GEL4102-Automne2023-C,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,8h30,11h20,Adrien-Pouliot 2548,En classe,N/A
GEL4102-Automne2023-C,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,13h30,16h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL4102-Automne2022-E,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,8h30,11h20,Adrien-Pouliot 2546,En classe,N/A
GEL4102-Automne2022-E,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,13h30,16h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL4150-Automne2024-A,0,Mardi,Du 3 sept. 2024 au 13 déc. 2024,11h30,12h20,Adrien-Pouliot 2569,Atelier,Hoang Le-Huy
GEL4150-Automne2024-A,0,Mercredi,Du 3 sept. 2024 au 13 déc. 2024,8h30,11h20,Adrien-Pouliot 0103,Laboratoire,Hoang Le-Huy
GEL4150-Automne2023-C,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,11h30,12h20,Adrien-Pouliot 2569,Atelier,N/A
GEL4150-Automne2023-C,0,Mercredi,Du 5 sept. 2023 au 15 déc. 2023,8h30,11h20,Adrien-Pouliot 0103,Laboratoire,N/A
GEL4150-Automne2022-E,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,11h30,12h20,Adrien-Pouliot 2569,Atelier,N/A
GEL4150-Automne2022-E,0,Mercredi,Du 6 sept. 2022 au 16 déc. 2022,8h30,11h20,Adrien-Pouliot 0103,Laboratoire,N/A
GEL4151-Hiver2024-A,0,Vendredi,Du 15 jan. 2024 au 26 avr. 2024,8h30,11h20,Adrien-Pouliot 2508,En classe,N/A
GEL4151-Hiver2024-A,0,Mardi,Du 15 jan. 2024 au 26 avr. 2024,8h30,11h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL4151-Hiver2023-C,0,Vendredi,Du 10 jan. 2023 au 21 avr. 2023,8h30,11h20,Adrien-Pouliot 2903,En classe,N/A
GEL4151-Hiver2023-C,0,Mardi,Du 10 jan. 2023 au 21 avr. 2023,8h30,11h20,Adrien-Pouliot 2128,Laboratoire,N/A
